pre-harvest_total,adult_prop,yearling_prop,fawn_prop,f:m_ratio
19988,0.42,0.25,0.33,1.15
20990,0.44,0.22,0.33,1.2
22189,0.43,0.23,0.34,1.24
23444,0.42,0.24,0.35,1.27
24393,0.42,0.24,0.35,1.26
25374,0.41,0.24,0.35,1.24
25603,0.41,0.25,0.34,1.25
26166,0.42,0.24,0.34,1.22
26299,0.42,0.24,0.34,1.21
26473,0.42,0.24,0.34,1.22
26616,0.41,0.24,0.34,1.22
26597,0.41,0.25,0.34,1.21
26778,0.42,0.24,0.34,1.18
26858,0.42,0.24,0.34,1.17
26843,0.42,0.25,0.34,1.18
26773,0.41,0.25,0.34,1.19
26768,0.42,0.24,0.34,1.2
26648,0.42,0.25,0.34,1.18
26633,0.42,0.24,0.34,1.18
26763,0.42,0.25,0.34,1.2
26809,0.42,0.25,0.34,1.18
26614,0.42,0.24,0.34,1.18
26629,0.41,0.25,0.34,1.19
21766,0.48,0.15,0.37,1.09
20508,0.41,0.28,0.31,1.09
20519,0.44,0.22,0.34,1.15
20311,0.42,0.25,0.33,1.15
21624,0.44,0.23,0.34,1.21
22915,0.43,0.23,0.34,1.22
23788,0.42,0.24,0.34,1.2
24470,0.42,0.24,0.34,1.19
24720,0.42,0.24,0.34,1.18
25078,0.42,0.24,0.34,1.19
25070,0.42,0.24,0.34,1.18
25006,0.42,0.24,0.34,1.19
25132,0.42,0.24,0.34,1.21
25455,0.42,0.24,0.34,1.19
25861,0.42,0.24,0.34,1.19
25867,0.42,0.25,0.34,1.17
25841,0.42,0.24,0.34,1.17
25879,0.42,0.25,0.33,1.17
25757,0.42,0.24,0.34,1.19
25883,0.42,0.24,0.34,1.2
25702,0.41,0.25,0.34,1.2
25720,0.42,0.24,0.34,1.19
25839,0.41,0.25,0.34,1.19
25747,0.42,0.25,0.34,1.19
25786,0.41,0.24,0.34,1.18
26149,0.41,0.25,0.34,1.19
21833,0.48,0.15,0.37,1.07
20734,0.41,0.28,0.31,1.1
20878,0.43,0.22,0.34,1.12
20671,0.42,0.25,0.33,1.14
21790,0.44,0.23,0.33,1.2
23070,0.44,0.22,0.34,1.22
23983,0.42,0.24,0.34,1.21
24582,0.42,0.24,0.34,1.2
24768,0.42,0.24,0.34,1.19
25030,0.42,0.24,0.34,1.2
25276,0.42,0.24,0.34,1.19
25303,0.42,0.24,0.34,1.2
25586,0.42,0.24,0.34,1.19
25670,0.41,0.25,0.34,1.17
25621,0.42,0.24,0.34,1.18
25478,0.42,0.25,0.33,1.17
25579,0.42,0.24,0.34,1.19
25471,0.42,0.24,0.34,1.17
25280,0.42,0.24,0.34,1.2
25198,0.42,0.25,0.34,1.19
25157,0.42,0.24,0.34,1.19
25267,0.41,0.24,0.34,1.18
25283,0.42,0.25,0.34,1.17
25447,0.42,0.24,0.34,1.17
25264,0.42,0.25,0.34,1.18
25155,0.42,0.24,0.33,1.17
21846,0.48,0.14,0.38,1.09
20971,0.4,0.29,0.31,1.14
20769,0.44,0.23,0.33,1.18
20716,0.42,0.24,0.33,1.17
21773,0.44,0.23,0.34,1.21
23051,0.43,0.23,0.34,1.24
24170,0.42,0.24,0.35,1.22
24773,0.41,0.24,0.34,1.19
25090,0.42,0.25,0.34,1.2
25038,0.42,0.24,0.33,1.21
25293,0.42,0.24,0.34,1.19
25359,0.41,0.25,0.34,1.2
25451,0.42,0.25,0.34,1.2
25677,0.42,0.24,0.34,1.19
25721,0.42,0.24,0.34,1.17
25675,0.42,0.24,0.34,1.17
25704,0.42,0.25,0.34,1.16
25495,0.42,0.24,0.34,1.17
25408,0.42,0.24,0.34,1.19
25443,0.42,0.24,0.34,1.19
25508,0.42,0.24,0.34,1.19
